date,text,like_count,quote_count,reply_count,retweet_count
2021-06-13 21:46:23,RT @Tesla: Playing Cyberpunk in Model S Plaid https://t.co/y9Ev4F6EaU,0,0,0,5227
2021-06-13 06:20:10,Esoteric meme of the day https://t.co/ELGmeLEXRE,173516,1130,14622,14483
2021-06-12 00:09:33,"RT @Teslarati: Did you catch Tesla's awesome new Model S Plaid badge? Check it out! 
Photo via @klwtts 
https://t.co/tMo4WdK7Vf https://t.c…",0,0,0,1618
2021-06-11 06:40:03,Plaid release event https://t.co/TxIHXnuw9A,54768,478,7710,4708
2021-06-11 04:47:43,"Most amount of fun on 4 wheels!
Pure joy on tap whenever u want.",56122,162,4294,2290
2021-06-11 04:45:32,Order Tesla Model S Plaid at https://t.co/LuUhICqQEI,92902,910,10187,6310
2021-06-07 20:00:58,"RT @Tesla: Model S Plaid delivery event at our Fremont factory will be streamed live on June 10, 7pm Pacific https://t.co/V7c77ySFti",0,0,0,6911
2021-06-06 20:48:20,0 to 60mph in under 2 secs. Quickest production car ever made of any kind. Has to be felt to be believed.,116163,736,6291,6023
2021-06-06 20:46:19,"Plaid+ is canceled. No need, as Plaid is just so good.",78019,703,4172,3052
2021-06-06 20:45:13,Model S goes to Plaid speed this week,145935,694,13290,7227
2021-06-06 11:07:47,https://t.co/anHPlBpGza,312259,1333,13027,20678
2021-06-06 10:58:55,https://t.co/zuW2EWMH34,270934,2335,12265,20276
2021-06-06 08:36:37,I guess we read the instructions haha https://t.co/S3YXcUCaWN,80647,256,5986,4659
2021-06-06 00:57:32,RT @SpaceX: Falcon 9 and SXM-8 vertical ahead of tomorrow morning’s launch → https://t.co/bJFjLCzWdK https://t.co/QG9Woa2dlJ,0,0,0,3047
2021-06-06 00:57:20,"RT @NASA: Contact and capture are confirmed at 5:09am ET. @SpaceX's cargo Dragon has arrived at the @Space_Station, delivering over 7,300 p…",0,0,0,2374
2021-06-05 21:18:43,"Don’t kill what you hate,
Save what you love",477526,5269,44261,66238
2021-06-05 18:55:49,"Goods &amp; services are the real economy, any form of money is simply the accounting thereof",213305,3055,23124,20276
2021-06-05 08:39:49,💦🚀 –&gt; 🌙,311401,7557,60075,29761
2021-06-04 03:25:26,"Canada
USA
Mexico",306215,7531,39015,26650
2021-06-04 02:49:24,https://t.co/MLhu6oOwgc,180127,4312,17079,19885
2021-06-04 01:07:04,#Bitcoin 💔 https://t.co/lNnEfMdtJf,217788,9977,59035,22577
2021-06-03 17:31:54,RT @SpaceX: Webcast of Falcon 9 launch of Dragon is now live → https://t.co/bJFjLCzWdK https://t.co/DqmJojsOMO,0,0,0,4366
2021-06-03 06:47:53,RT @SpaceX: Falcon 9 and Dragon went vertical on the pad last night ahead of tomorrow’s launch → https://t.co/bJFjLCzWdK https://t.co/8KDby…,0,0,0,4345
2021-06-03 02:39:15,"RT @SpaceX: Beginning early next year, SpaceX will carry four @Axiom_Space crews to and from the @space_station → https://t.co/yq6mryOFeS h…",0,0,0,3738
2021-06-02 07:05:02,Found this pic of me as a child https://t.co/hUEKluRAdP,367613,3147,34256,40460
2021-06-01 23:23:53,RT @SpaceX: Falcon 9 and Dragon roll out to Launch Complex 39A ahead of Dragon's 22nd cargo resupply mission to the @Space_Station https://…,0,0,0,5549
2021-05-30 19:42:22,Ocean spaceport Deimos is under construction for launch next year https://t.co/WJQka399c7,130646,883,10336,11876
2021-05-30 19:40:28,"RT @SpaceX: One year ago today, SpaceX launched its first human spaceflight mission with @NASA astronauts @AstroBehnken and @Astro_Doug on…",0,0,0,3442
2021-05-29 05:01:18,"Model S Plaid delivery pushed to June 10. Needs one more week of tweak.

This car feels like a spaceship. Words cannot describe the limbic resonance.",144615,797,10705,8578
2021-05-28 04:56:24,https://t.co/0YDXE4KJlP,102272,230,3365,4272
2021-05-28 03:47:51,"Ship 16 &amp; Booster 2, Starbase Highbay https://t.co/IUuidOw9ym",270234,1678,11829,19019
2021-05-27 00:35:29,RT @Tesla: Just surpassed 200k Powerwall installs globally 🔋🏡☀️,0,0,0,3740
2021-05-26 19:50:06,"RT @Tesla: If you want to help cover Giga Berlin in awesome graffiti art, send us your work at GigaBerlinArt@Tesla.com",0,0,0,4362
2021-05-26 18:52:03,RT @SpaceX: Today's flight will mark the 40th time SpaceX has reflown Falcon fairing halves since November 2019,0,0,0,3354
2021-05-26 18:51:58,RT @SpaceX: Watch Falcon 9 launch 60 Starlink satellites to orbit → https://t.co/bJFjLCzWdK  https://t.co/IF1aGLTBbb,0,0,0,4880
2021-05-26 18:49:21,"If only they had spaceships, they’d still be around",140949,446,6663,5734
2021-05-26 18:47:30,Deep thots https://t.co/J5mJff7IIL,302968,3672,14527,28501
2021-05-24 20:29:33,"Someone suggested changing Dogecoin fees based on phases of the moon, which is pretty awesome haha",132544,1042,8437,12429
2021-05-24 19:49:56,"If you’d like to help develop Doge, please submit ideas on GitHub &amp; https://t.co/liAPQMFaQB @dogecoin_devs",194754,3101,22609,33593
2021-05-24 19:42:36,Spoke with North American Bitcoin miners. They committed to publish current &amp; planned renewable usage &amp; to ask miners WW to do so. Potentially promising.,330620,11218,27369,38944
2021-05-22 22:22:56,https://t.co/7afq6DIlzc,433038,3470,34314,46440
2021-05-22 09:22:41,Any sufficiently advanced magic is indistinguishable from technology,293081,2862,24609,24562
2021-05-20 10:41:00,How much is that Doge in the window? https://t.co/bxTkWOr50V,312373,8060,73871,55218
2021-05-20 07:54:54,"Tesla Model S Plaid delivery event
June 3 at our California factory

Fastest production car ever
0 to 60mph in under 2 secs",200866,1723,18653,14806
2021-05-19 15:41:10,Credit to our Master of Coin,176197,1697,16028,13623
2021-05-19 14:42:44,Tesla has 💎 🙌,467595,18509,72251,58343
2021-05-18 13:43:19,"Aiming for extreme precision with next gen Model Y – microns, not millimeters",96160,458,6506,4530
2021-05-18 11:46:18,Giga Berlin suppliers please accelerate!,162119,982,18995,9809
2021-05-18 09:25:14,https://t.co/13m1KHFMjv,284118,1379,18793,19330
2021-05-15 22:56:56,RT @SpaceX: Live feed of Starlink mission → https://t.co/bJFjLCzWdK  https://t.co/540iEuCeFR,0,0,0,10250
2021-05-14 16:29:01,RT @Tesla: Configurator now live in Hungary 🇭🇺 &amp; Romania 🇷🇴,0,0,0,5531
2021-05-14 16:04:57,RT @SpaceX: SpaceX’s fifth high-altitude flight test of Starship from Starbase in Texas https://t.co/FnrXuHpsVj,0,0,0,20634
2021-05-13 23:30:52,As always https://t.co/gtFmtokzEZ,370541,5770,38115,47853
2021-05-13 22:45:16,Working with Doge devs to improve system transaction efficiency. Potentially promising.,550964,21029,66910,86630
2021-05-13 21:11:46,"To be clear, I strongly believe in crypto, but it can’t drive a massive increase in fossil fuel use, especially coal",373093,8148,59519,35547
2021-05-13 20:59:45,It is high time there was a carbon tax!,249593,5720,34921,19206
2021-05-13 09:54:35,Energy usage trend over past few months is insane https://t.co/E6o9s87trw https://t.co/bmv9wotwKe,90640,3301,24409,9441
2021-05-12 22:06:14,Tesla &amp; Bitcoin https://t.co/YSswJmVZhP,507263,50249,126706,77624
2021-05-11 08:13:35,Do you want Tesla to accept Doge?,399725,15969,99010,98295
2021-05-11 07:04:25,"SNL Monologue
https://t.co/b2cvFGqVFF",87466,489,7458,7317
2021-05-10 23:32:58,"Thanks again to @nbcsnl cast, writers &amp; crew! Honor &amp; pleasure to do the show with you.",209363,569,11777,9264
2021-05-09 22:41:43,"SpaceX launching satellite Doge-1 to the moon next year

– Mission paid for in Doge
– 1st crypto in space
– 1st meme in space

To the mooooonnn!!

https://t.co/xXfjGZVeUW",542245,15325,36257,117803
2021-05-09 13:21:16,"Wario was my fav haha 👀 
https://t.co/TNjn3meLVJ",137903,1220,20209,9723
2021-05-08 20:39:52,"Special link to view SNL outside USA
https://t.co/egSDZ8sNFu",174732,2981,20920,26616
2021-05-08 09:03:01,First time a Falcon rocket booster will reach double digits in flights https://t.co/wrojsaGExZ,96732,352,6510,6600
2021-05-08 01:22:52,Cybertruck prototype in New York this weekend,272672,1203,12214,16421
2021-05-07 21:05:35,Guest starring … https://t.co/buM3bTOWbX,769122,15784,38360,109569
2021-05-07 20:57:52,https://t.co/DlQtmfjKqL,228587,1012,9892,20440
2021-05-07 15:39:28,"RT @nbcsnl: ELON MUSK. MILEY CYRUS.
THIS SATURDAY https://t.co/6miGBj90XJ",0,0,0,18692
2021-05-07 04:24:20,"Cryptocurrency is promising, but please invest with caution! https://t.co/A4kplcP8Vq",225451,4605,18845,38894
2021-05-06 19:26:59,Make humanity a multiplanet species!,626903,7071,69599,63759
2021-05-06 19:26:09,Public support for life on Mars is critical to making it happen,240885,2373,14705,18325
2021-05-06 03:53:15,RT @nbcsnl: https://t.co/qmIQF3fq5q,0,0,0,14020
2021-05-05 22:37:20,Starship landing nominal!,334396,3452,21008,32145
2021-05-05 22:22:39,About to launch https://t.co/t4nki8vU4E,107142,712,7332,9427
2021-05-04 20:15:46,RT @SpaceX: Falcon 9’s first stage has landed on the Of Course I Still Love You droneship – the 9th landing of this booster https://t.co/wz…,0,0,0,4368
2021-05-04 18:59:04,RT @SpaceX: Watch Falcon 9 launch 60 Starlink satellites → https://t.co/bJFjLCzWdK  https://t.co/zXwBMcXUDJ,0,0,0,4660
2021-05-04 18:58:22,RT @SpaceX: #MayThe4thBeWithYou https://t.co/1T7aXNZgkD,0,0,0,15443
2021-05-02 07:49:18,"RT @SpaceX: Splashdown of Dragon confirmed – welcome back to Earth, @AstroVicGlover, @Astro_illini, Shannon Walker, and @Astro_Soichi! http…",0,0,0,7962
2021-05-02 03:13:36,I love Art Deco,244104,3278,28363,13689
2021-05-02 02:23:13,RT @SpaceX: Departure burns complete. Dragon will reenter the Earth's atmosphere in ~4 hours,0,0,0,3547
2021-05-02 01:55:30,RT @NASA: LIVE: NASA's @SpaceX Crew-1 astronauts are strapped in for their journey home tonight. Watch the hatches close between Crew Drago…,0,0,0,3023
2021-05-02 01:01:26,RT @SpaceX: Separation confirmed. Dragon will perform four departure burns to move away from the @space_station https://t.co/43GwSBrWJc,0,0,0,5631
2021-05-01 21:56:54,Baby Shark &amp; Shark Tank merge to form Baby Shark Tank,87703,833,5797,4372
2021-05-01 21:53:38,Irony Man – defeats villains using the power of irony,93664,1109,4451,4814
2021-05-01 21:49:50,Throwing out some skit ideas for SNL. What should I do?,140882,5756,53852,9550
2021-05-01 21:36:22,"Woke James Bond
SNL May 8",150053,1235,10794,11855
2021-04-29 22:45:59,"A major part of real-world AI has to be solved to make unsupervised, generalized full self-driving work, as the entire road system is designed for biological neural nets with optical imagers",142197,1403,27300,9921
2021-04-29 03:57:55,"RT @SpaceX: Falcon 9’s first stage has landed on the Just Read the Instructions droneship, completing this booster’s seventh launch and lan…",0,0,0,6284
2021-04-28 08:43:37,"♥️
https://t.co/juLuKlymEX",55289,532,10725,4349
2021-04-28 06:20:47,"The Dogefather
SNL May 8",461508,10730,38001,78735
2021-04-27 00:15:00,"Starship SN15 static fire completed, preparing for flight later this week",169824,777,13693,9715
2021-04-26 18:06:44,RT @Space_Station: The @SpaceX Crew-1 astronauts will soon soar back to Earth and parachute to a splashdown off the coast of Florida. They…,0,0,0,2734
2021-04-25 03:20:46,Let’s find out just how live Saturday Night Live really is 😈,220187,2013,14389,12618
2021-04-25 03:09:25,Am hosting SNL on May 8,329998,2989,14460,20269
2021-04-24 09:24:24,RT @SpaceX: Docking confirmed – second time at the @space_station for this Dragon https://t.co/JLC9wOjRFT,0,0,0,8243
2021-04-24 09:03:34,https://t.co/l6Bc0wkWol,245223,2756,6743,19203
2021-04-24 08:55:19,define … beauty,276320,45978,57554,15101
2021-04-24 08:54:25,What does the future hodl?,322293,5049,52146,30364
2021-04-24 08:53:28,"RT @RealLifeStarman: “We need to have a big permanently occupied base on the moon, and then build a city on Mars and become a spacefaring c…",0,0,0,17231
2021-04-23 11:28:20,RT @SpaceX: Dragon has separated from Falcon 9’s second stage and is on its way to the @space_station! Autonomous docking tomorrow at ~5:10…,0,0,0,6345
2021-04-23 09:47:18,2 mins to launch https://t.co/q9nXKRrXpw,88343,481,5950,6816
2021-04-23 08:13:41,Astronauts preparing to launch to @Space_Station https://t.co/WBkaDZexEc,81886,437,4278,6794
2021-04-22 21:14:22,RT @xprize: Elon Musk and Peter Diamandis LIVE on $100M XPRIZE Carbon Removal https://t.co/M2ruxS0Zxt,0,0,0,3275
2021-04-22 20:57:44,🌍🌎🌏 Happy Earth Day 🌍🌎🌏,435193,2375,16214,36311
2021-04-22 20:21:12,RT @SpaceX: All systems and weather are looking good for Falcon 9’s launch of Dragon with four astronauts on board. Webcast will go live to…,0,0,0,5826
2021-04-22 05:49:17,Tesla Solar + Powerwall battery enables consumers to be their own utility,173702,971,10348,11418
2021-04-22 05:14:54,"Powerwall 2 peak &amp; steady power capability is better than advertised. 

Now that we have lots of operational data, Tesla can unlock higher capabilities for free via software update next month. 

Depending on production date, power increase power may be &gt;50% at 30C ambient temp.",28317,98,1384,1279
2021-04-22 01:51:09,"Solar power will feed exclusively to Powerwall. Powerwall will interface only between utility meter &amp; house main breaker panel, enabling super simple install &amp; seamless whole house backup during utility dropouts.",56759,178,2301,2639
2021-04-22 01:27:43,"Starting next week, Tesla Solar Panels &amp; Solar Roof will only be sold as an integrated product *with* Tesla Powerwall battery",126722,803,7567,8225
2021-04-21 15:24:07,"RT @Commercial_Crew: Launch Update 🚀 @NASA and @SpaceX now are targeting Friday, April 23 at 5:49 a.m. ET for the launch of the Crew-2 miss…",0,0,0,4571
2021-04-20 16:51:05,RT @SpaceX: Falcon 9 and Dragon are looking good for flight of Crew-2 astronauts; teams are keeping an eye on launch site and downrange wea…,0,0,0,5493
2021-04-18 20:41:18,RT @SpaceX: SpaceX and @NASA completed a full rehearsal of launch day activities with the four Crew-2 astronauts https://t.co/u0hDCTx3Zp,0,0,0,9316
2021-04-17 22:32:03,Tesla with Autopilot engaged now approaching 10 times lower chance of accident than average vehicle https://t.co/6lGy52wVhC,161160,1219,11487,18693
2021-04-17 05:46:56,Dragon spacecraft &amp; Falcon 9 rocket https://t.co/A6fsNlsN9z,221143,941,9761,15744
2021-04-17 04:46:34,"If we make life multiplanetary, there may come a day when some plants &amp; animals die out on Earth, but are still alive on Mars",232536,3980,15178,18572
2021-04-17 01:37:48,Everything to the moon!,557257,6963,32697,65131
2021-04-16 22:16:48,We are honored to be part of the @NASAArtemis team,74224,137,2382,3339
2021-04-16 21:55:05,🚀🖤💫 NASA Rules!! 💫🖤🚀 https://t.co/hmeGx2peZ6,184109,970,7108,17020
2021-04-16 17:01:25,👀,258170,2410,13873,26497
2021-04-16 08:25:23,RT @Tesla: Cybertruck at Giga Texas https://t.co/c1RuektPnN,0,0,0,14758
2021-04-16 02:13:57,🎸🎸 Austin Rocks!! 🎸 🎸,163254,1497,10025,9369
2021-04-16 00:50:37,Make life multiplanetary! #Mars,322339,2927,14650,29125
2021-04-15 04:33:18,Doge Barking at the Moon https://t.co/QFB81D7zOL,334475,5175,22647,49998
2021-04-15 03:47:00,Le Petit Prince,91093,403,2705,3991
2021-04-15 03:42:35,"☾

           🔭𖨆♡",327600,2123,10735,39521
2021-04-14 21:57:08,Tesla AI/Autopilot engineering is awesome! Making excellent progress solving real-world AI.,130850,573,5600,7038
2021-04-11 15:48:58,Love this beautiful shot,94365,138,3878,2123
2021-04-11 12:23:49,The art In Cyberpunk is incredible,273044,1064,9863,11693
2021-04-10 22:09:02,Blimps rock https://t.co/e8cu5FkNOI,180544,1057,9918,7341
2021-04-10 07:45:17,Just needs some legs,49546,123,2157,1336
2021-04-10 07:45:10,The Starship launch tower that catches the giant rocket booster is basically Mechazilla,84238,213,3653,3482
2021-04-10 07:29:45,But wait how is the core of the earth lit by the sun? Stop asking questions!!,71337,331,2375,2571
2021-04-10 07:29:01,Kong vs Godzilla has record for most meth ever consumed in a writer’s room,179922,1506,4241,14140
2021-04-10 07:15:47,… going to moon very soon,543540,9424,31301,44693
2021-04-10 06:41:45,Where is Shrek 5!? https://t.co/PqAZ5Mg8Es,276331,1531,4798,25558
2021-04-09 22:24:01,It’s all about the cufflinks https://t.co/elccqC0Zuf,344903,1272,5369,26430
2021-04-09 11:24:30,Thanks to all that helped SpaceX!,37568,65,1193,1025
2021-04-09 11:21:13,Just read it. Book is accurate. https://t.co/3bI9Vw8iP1,58564,221,2086,3793
2021-04-09 07:32:42,https://t.co/XeQursZpvq,352502,1997,6532,35655
2021-04-09 04:11:42,Soon our monkey will be on twitch &amp; discord haha,227996,1305,7176,11461
2021-04-09 01:48:09,A monkey is literally playing a video game telepathically using a brain chip!!,81966,943,3003,5026
2021-04-09 01:41:23,"The device is implanted flush with skull &amp; charges wirelessly, so you look &amp; feel totally normal",55611,318,1856,2738
2021-04-09 00:29:40,"Later versions will be able to shunt signals from Neuralinks in brain to Neuralinks in body motor/sensory neuron clusters, thus enabling, for example, paraplegics to walk again",82433,803,2026,6055
2021-04-09 00:24:31,First @Neuralink product will enable someone with paralysis to use a smartphone with their mind faster than someone using thumbs,176094,3434,6080,20024
2021-04-09 00:16:21,Monkey plays Pong with his mind https://t.co/35NIFm4C7T,134554,2308,4607,15484
2021-04-08 09:41:16,Thanks Tesla suppliers for providing us with critical parts!,187816,512,5229,6081
2021-04-07 20:02:22,"To be clear, I do support vaccines in general &amp; covid vaccines specifically. The science is unequivocal. 

In very rare cases, there is an allergic reaction, but this is easily addressed with an EpiPen.",195574,1772,11280,14526
2021-04-07 19:15:46,"RT @SpaceX: Deployment of 60 Starlink satellites confirmed, completing SpaceX’s 10th mission this year https://t.co/c15BveB3QE",0,0,0,3813
2021-04-06 19:28:24,“Tanks for the memery!” – Panzer of the Lake,133554,304,5722,5026
2021-04-05 11:01:29,"The Earth is not flat, it’s a hollow globe &amp; Donkey King lives there!",286452,2661,11971,22016
2021-04-05 10:28:55,RT @SpaceX: Dragon is go for the first-ever port relocation flight of a commercial spacecraft https://t.co/qV7AktWsqQ,0,0,0,2018
2021-04-05 10:28:42,"Godzilla vs Kong is so amaze much wow!
Most insane movie I’ve ever seen!
Love letter to conspiracy theorists!
And yet heartwarming in the end.",216213,1941,7491,13909
2021-04-04 10:53:26,Urgent need to build more housing in greater Austin area!,64463,733,4278,2324
2021-04-04 06:25:28,Austin++,140557,844,7288,6231
2021-04-04 01:03:00,No it doesn’t hurt at all 🩸 https://t.co/NnL6o1si0V,439869,2554,7122,39823
2021-04-03 04:31:41,"Me in my sick new car
(left him the money) https://t.co/EGaY1FVfHm",253244,1400,57698,11905
2021-04-01 10:25:23,SpaceX is going to put a literal Dogecoin on the literal moon,543196,8283,25708,52651
2021-04-01 10:23:49,Nicheman — his superpower is appealing to small audiences,86573,332,2798,4098
2021-03-31 19:23:17,"Over 10,000 people are needed for Giga Texas just through 2022!
- 5 mins from airport
-15 mins from downtown
- Right on Colorado river https://t.co/w454iXedxB",103281,1387,7969,12008
2021-03-30 14:44:51,Starbase will grow by several thousand people over the next year or two,74202,232,3009,3409
2021-03-30 14:29:47,Probably most “in space” you could possibly feel by being in a glass dome https://t.co/SOAIzxVGgX,79890,437,3028,5286
2021-03-30 14:27:29,Am donating $20M to Cameron County schools &amp; $10M to City of Brownsville for downtown revitalization. Details to follow next week.,350319,4445,12260,24278
2021-03-30 14:17:29,"Please consider moving to Starbase or greater Brownsville/South Padre area in Texas &amp; encourage friends to do so! 

SpaceX’s hiring needs for engineers, technicians, builders &amp; essential support personnel of all kinds are growing rapidly.",176153,4204,15019,17522
2021-03-29 15:33:52,FAA inspector unable to reach Starbase in time for launch today. Postponed to no earlier than tomorrow.,74318,787,3369,3061
2021-03-28 18:12:55,Possible Starship flight tomorrow afternoon,336455,1809,11002,17732
2021-03-28 11:10:25,Wholesome memes https://t.co/u5TkHJua8Q,464801,1240,5593,36541
2021-03-27 03:34:31,Check out our new crane https://t.co/PE4vL6uKcb,584581,6433,17996,49036
2021-03-26 01:38:29,"RT @Tesla: 6,000+ Superchargers across Europe — at 600 locations and counting!

📸 by @EPavlic, @MinimalDuck &amp; @_better_e https://t.co/Yf36H…",0,0,0,4717
2021-03-25 10:35:03,"If there’s ever a scandal about me, *please* call it Elongate",766016,8060,21252,56414
2021-03-25 10:25:26,Don’t defy DeFi,175288,2631,11106,16988
2021-03-25 07:48:53,Mars rover looking back https://t.co/oaFOCezRuU,274033,1439,7177,16707
2021-03-24 18:40:35,RT @SpaceX: Deployment of 60 Starlink satellites confirmed https://t.co/Xcbrq66Mez,0,0,0,5562
2021-03-24 07:10:43,Pay by Bitcoin capability available outside US later this year,140982,623,3135,9131
2021-03-24 07:09:34,"Tesla is using only internal &amp; open source software &amp; operates Bitcoin nodes directly.

Bitcoin paid to Tesla will be retained as Bitcoin, not converted to fiat currency.",178531,3639,4626,20095
2021-03-24 07:02:40,You can now buy a Tesla with Bitcoin,892998,23663,36124,113188
2021-03-24 04:35:51,RT @Fogdo: Thank you @Tesla for this helpful and cool feature :-) https://t.co/FLuY3yFdSL,0,0,0,11815
2021-03-23 01:14:58,Strongest argument against aliens https://t.co/eF2FFZpJQE,457516,3622,13242,43619
2021-03-20 09:21:38,Music in zero gravity https://t.co/bepfMipjrE,388873,2473,11172,26563
2021-03-19 02:40:07,https://t.co/Ngk8SJvDUW,340423,1989,8595,23069
2021-03-18 23:15:42,First Super Heavy Booster https://t.co/0K5QPsEbbt,224661,1563,6753,14098
2021-03-18 07:09:10,The simulation really struggled to make this look real haha https://t.co/t8zvFTRUHU,298881,1013,9502,14282
